Method,Repetition,Epochs Used,Test Accuracy
Full Training,1,100,0.977699995
Full Training,2,100,0.977900028
Full Training,3,100,0.976300001
Full Training,4,100,0.978600025
Full Training,5,100,0.978900015
Full Training,6,100,0.977800012
Full Training,7,100,0.979499996
Full Training,8,100,0.977599978
Full Training,9,100,0.978299975
Full Training,10,100,0.979499996
Early Stopping,1,30,0.978500009
Early Stopping,2,19,0.976400018
Early Stopping,3,14,0.974799991
Early Stopping,4,19,0.975300014
Early Stopping,5,21,0.977599978
Early Stopping,6,25,0.979099989
Early Stopping,7,18,0.974699974
Early Stopping,8,19,0.978399992
Early Stopping,9,27,0.977900028
Early Stopping,10,17,0.976599991
Secretary 37%,1,57,0.977999985
Secretary 37%,2,100,0.977900028
Secretary 37%,3,39,0.978799999
Secretary 37%,4,41,0.977100015
Secretary 37%,5,59,0.980099976
Secretary 37%,6,38,0.977800012
Secretary 37%,7,71,0.978799999
Secretary 37%,8,41,0.978399992
Secretary 37%,9,64,0.978999972
Secretary 37%,10,58,0.977699995
Secretary 50%,1,57,0.977999985
Secretary 50%,2,100,0.977900028
Secretary 50%,3,100,0.976300001
Secretary 50%,4,54,0.976100028
Secretary 50%,5,59,0.980099976
Secretary 50%,6,60,0.979900002
Secretary 50%,7,71,0.978799999
Secretary 50%,8,53,0.979799986
Secretary 50%,9,64,0.978999972
Secretary 50%,10,58,0.977699995
Secretary 75%,1,96,0.977500021
Secretary 75%,2,100,0.977900028
Secretary 75%,3,100,0.976300001
Secretary 75%,4,96,0.979099989
Secretary 75%,5,100,0.978900015
Secretary 75%,6,76,0.979200006
Secretary 75%,7,97,0.976700008
Secretary 75%,8,89,0.979099989
Secretary 75%,9,100,0.978299975
Secretary 75%,10,83,0.98119998
